Actual,Default_Probability_Pct,Risk_Level,Loan_Amount_USD,Expected_Loss_USD
0,46.1,Medium Risk,76500,35283.769726753235
0,23.1,Low Risk,236500,54576.859913766384
0,35.8,Medium Risk,126500,45323.61924648285
0,9.9,Low Risk,446500,44309.8006285727
1,21.5,Low Risk,176500,37933.65339189768
0,18.3,Low Risk,216500,39557.72302299738
0,30.8,Medium Risk,246500,75887.17091083527
1,100.0,High Risk,386500,386371.314227581
1,100.0,High Risk,66500,66477.8111577034
0,18.9,Low Risk,216500,40867.7137568593
0,47.4,Medium Risk,166500,78951.04658603668
0,16.0,Low Risk,256500,40955.89654147625
0,25.7,Low Risk,666500,171260.70465147495
1,99.4,High Risk,186500,185330.84669709206
0,19.4,Low Risk,386500,74866.73196405172
0,35.5,Medium Risk,206500,73275.3237336874
0,18.9,Low Risk,276500,52187.79664486647
0,21.8,Low Risk,106500,23183.34925174713
0,33.8,Medium Risk,336500,113766.80448651314
0,13.9,Low Risk,476500,66038.35893422365
1,43.3,Medium Risk,396500,171612.46521770954
0,19.4,Low Risk,206500,40106.36979341507
0,22.5,Low Risk,256500,57720.55938094854
0,22.4,Low Risk,576500,129223.1719866395
0,18.0,Low Risk,536500,96712.61724084616
1,20.4,Low Risk,416500,84760.1467370987
0,15.9,Low Risk,496500,78876.1863335967
1,100.0,High Risk,506500,506350.4701554775
1,99.9,High Risk,336500,336326.02590322495
0,15.5,Low Risk,426500,66025.5483314395
0,37.5,Medium Risk,86500,32437.311813235283
0,31.6,Medium Risk,226500,71623.19219112396
0,37.4,Medium Risk,186500,69781.72220289707
0,13.8,Low Risk,366500,50747.281305491924
1,100.0,High Risk,196500,196418.51744055748
0,33.4,Medium Risk,206500,69037.7895385027
0,49.1,Medium Risk,126500,62059.46612358093
0,9.3,Low Risk,366500,34223.856177181005
1,100.0,High Risk,366500,366442.2852396965
1,88.7,High Risk,76500,67830.97493648529
0,26.5,Low Risk,236500,62665.22987186909
1,100.0,High Risk,566500,566379.5565664768
1,100.0,High Risk,516500,516354.721814394
0,30.3,Medium Risk,416500,126150.13611316681
0,47.7,Medium Risk,186500,88967.47510135174
0,22.6,Low Risk,286500,64653.411872684956
1,100.0,High Risk,186500,186450.1213133335
1,100.0,High Risk,126500,126468.26419234276
0,53.3,Medium Risk,246500,131421.8318760395
0,39.9,Medium Risk,466500,186192.76244938374
1,44.7,Medium Risk,386500,172604.26147282124
0,21.6,Low Risk,156500,33789.44666683674
0,39.7,Medium Risk,276500,109872.733771801
0,35.5,Medium Risk,506500,179885.45960187912
0,15.2,Low Risk,556500,84486.24835163355
0,29.5,Low Risk,166500,49139.30122554302
1,29.8,Low Risk,166500,49618.60406398773
0,19.8,Low Risk,726500,143867.8928092122
1,68.7,High Risk,96500,66343.13455224037
0,23.1,Low Risk,306500,70664.19798880816
1,31.3,Medium Risk,176500,55229.34448719025
1,31.7,Medium Risk,126500,40066.264897584915
0,24.8,Low Risk,666500,165561.98849529028
0,26.5,Low Risk,356500,94454.74131405354
0,14.9,Low Risk,246500,36807.888463139534
1,100.0,High Risk,606500,606322.1770823002
0,18.2,Low Risk,406500,74114.78159576654
0,30.9,Medium Risk,226500,69998.37903678417
0,16.6,Low Risk,316500,52635.46822965145
0,17.0,Low Risk,416500,71009.13326442242
0,42.2,Medium Risk,236500,99758.59388709068
0,13.6,Low Risk,416500,56606.212712824345
0,22.9,Low Risk,266500,60977.701500058174
0,23.7,Low Risk,596500,141361.1779808998
1,35.1,Medium Risk,126500,44383.97468626499
0,21.4,Low Risk,356500,76460.50427109003
0,16.0,Low Risk,446500,71292.0674085617
0,46.7,Medium Risk,276500,129196.37729227543
1,52.2,Medium Risk,536500,279797.8563308716
0,21.0,Low Risk,626500,131610.5441749096
1,100.0,High Risk,296500,296411.2473130226
0,11.3,Low Risk,356500,40437.46328353882
0,28.5,Low Risk,186500,53090.95412492752
0,28.8,Low Risk,436500,125822.34750688076
0,17.9,Low Risk,536500,96142.86714047194
0,23.0,Low Risk,226500,52105.058781802654
1,100.0,High Risk,286500,286437.5162422657
0,31.8,Medium Risk,276500,87926.09046399593
0,10.9,Low Risk,316500,34373.58779087663
0,11.0,Low Risk,536500,59021.66707068682
0,18.4,Low Risk,586500,107737.18066513538
0,27.5,Low Risk,216500,59595.88082134724
0,13.1,Low Risk,556500,72905.2881449461
0,13.3,Low Risk,266500,35466.84209257364
0,23.0,Low Risk,486500,111868.4256747365
0,16.2,Low Risk,436500,70503.72252613306
1,100.0,High Risk,556500,556330.8330774307
0,29.0,Low Risk,126500,36747.8032708168
0,29.6,Low Risk,216500,64167.724609375
1,100.0,High Risk,116500,116457.76695013046
0,55.6,Medium Risk,306500,170271.92160487175
0,41.8,Medium Risk,116500,48667.98274219036
0,27.6,Low Risk,316500,87233.02683234215
0,18.6,Low Risk,566500,105129.12861257792
0,25.5,Low Risk,206500,52678.58938872814
0,27.5,Low Risk,216500,59634.548872709274
0,29.9,Low Risk,156500,46851.021111011505
0,16.3,Low Risk,726500,118528.83049845695
0,13.8,Low Risk,286500,39626.51950120926
0,57.1,Medium Risk,236500,134975.58003664017
1,76.4,High Risk,326500,249466.97840094566
1,100.0,High Risk,246500,246428.02122235298
0,21.3,Low Risk,116500,24768.017202615738
0,28.4,Low Risk,186500,53040.99206626415
0,15.9,Low Risk,216500,34473.64530712366
1,98.7,High Risk,406500,401333.2739174366
0,50.8,Medium Risk,206500,104887.17177510262
1,100.0,High Risk,516500,516387.8473341465
0,15.1,Low Risk,266500,40340.79699963331
0,23.0,Low Risk,106500,24534.630350768566
0,67.7,High Risk,66500,45051.81634426117
1,100.0,High Risk,606500,606342.9996073246
1,100.0,High Risk,486500,486415.52981734276
0,17.4,Low Risk,256500,44628.38436663151
0,29.7,Low Risk,46500,13795.925036072731
0,22.2,Low Risk,176500,39184.13142859936
1,73.6,High Risk,266500,196053.9186000824
1,100.0,High Risk,576500,576325.7155418396
0,28.4,Low Risk,316500,89804.42181229591
1,28.8,Low Risk,146500,42174.26769435406
0,88.2,High Risk,446500,394031.4829945564
0,29.0,Low Risk,386500,111953.16642522812
0,40.2,Medium Risk,386500,155289.2060726881
1,100.0,High Risk,156500,156472.5846350193
0,12.1,Low Risk,316500,38226.63374617696
0,6.5,Low Risk,556500,36357.379876077175
0,45.4,Medium Risk,356500,161812.27223575115
0,44.7,Medium Risk,236500,105806.21023476124
0,15.2,Low Risk,446500,67909.6612110734
0,18.6,Low Risk,666500,123748.06403368711
0,28.8,Low Risk,486500,140030.39455413818
0,59.6,Medium Risk,106500,63485.427886247635
1,82.7,High Risk,266500,220416.26706719398
0,30.5,Medium Risk,266500,81341.71189367771
0,43.1,Medium Risk,276500,119064.6129399538
0,35.2,Medium Risk,196500,69117.15061962605
0,40.0,Medium Risk,256500,102506.81756436825
1,31.7,Medium Risk,356500,112846.08602523804
0,12.9,Low Risk,176500,22726.06023401022
0,35.9,Medium Risk,276500,99245.86494266987
0,18.0,Low Risk,476500,85682.17141926289
0,29.5,Low Risk,136500,40217.88467466831
0,19.8,Low Risk,536500,106467.7849560976
0,35.6,Medium Risk,136500,48624.885231256485
1,62.8,Medium Risk,426500,267859.9564433098
0,9.7,Low Risk,476500,46092.35683456063
1,51.7,Medium Risk,246500,127440.04935026169
0,36.1,Medium Risk,266500,96163.87395560741
0,15.0,Low Risk,166500,24945.18133252859
0,15.5,Low Risk,336500,52114.50830101967
0,19.8,Low Risk,276500,54881.48208707571
0,11.3,Low Risk,266500,29982.484236359596
1,22.3,Low Risk,136500,30446.05627655983
0,46.6,Medium Risk,466500,217616.80667102337
0,20.3,Low Risk,386500,78394.61924135685
0,43.3,Medium Risk,216500,93771.08271420002
0,34.1,Medium Risk,286500,97826.04141533375
0,12.5,Low Risk,286500,35671.54226079583
0,16.5,Low Risk,276500,45673.67021739483
0,9.5,Low Risk,426500,40417.733281850815
0,17.3,Low Risk,596500,103134.3114823103
0,22.5,Low Risk,366500,82392.22212135792
0,31.7,Medium Risk,346500,109966.09152853489
0,36.7,Medium Risk,136500,50054.25623059273
0,44.8,Medium Risk,206500,92527.37599611282
0,24.8,Low Risk,216500,53623.338006436825
0,31.3,Medium Risk,336500,105289.09729421139
0,14.6,Low Risk,356500,51936.660788953304
1,100.0,High Risk,236500,236432.8301846981
0,27.5,Low Risk,166500,45773.34912121296
0,20.4,Low Risk,336500,68742.322281003
1,89.6,High Risk,616500,552265.5470967293
0,19.5,Low Risk,416500,81211.44584566355
1,100.0,High Risk,216500,216437.50396370888
0,11.5,Low Risk,406500,46801.40495672822
1,100.0,High Risk,256500,256436.6593658924
0,36.9,Medium Risk,156500,57755.16304373741
0,51.6,Medium Risk,416500,214711.48842573166
0,15.2,Low Risk,246500,37445.28044760227
1,99.7,High Risk,166500,165974.03866052628
0,24.9,Low Risk,356500,88858.73870551586
1,100.0,High Risk,326500,326408.7088406086
0,17.2,Low Risk,406500,69850.72975605726
1,100.0,High Risk,446500,446418.0571138859
1,44.5,Medium Risk,266500,118518.94427835941
0,20.3,Low Risk,156500,31780.301056802273
0,72.8,High Risk,296500,215914.3098294735
0,41.8,Medium Risk,296500,123908.85984897614
1,36.2,Medium Risk,136500,49380.54786622524
0,24.9,Low Risk,296500,73688.17313015461
0,17.6,Low Risk,256500,45198.09843599796
0,17.1,Low Risk,256500,43821.735352277756
0,9.0,Low Risk,326500,29241.077959537506
0,30.7,Medium Risk,126500,38821.3224709034
0,20.7,Low Risk,246500,51103.23514044285
0,23.8,Low Risk,276500,65782.75842964649
0,16.3,Low Risk,206500,33727.58420556784
0,21.0,Low Risk,226500,47644.4351747632
0,68.0,High Risk,66500,45200.12643933296
0,15.8,Low Risk,486500,76828.30616086721
1,21.0,Low Risk,316500,66378.59681993723
0,19.2,Low Risk,636500,121901.55398845673
0,24.9,Low Risk,486500,121120.57121098042
0,8.2,Low Risk,316500,25970.84452584386
1,39.5,Medium Risk,196500,77553.6582916975
0,24.2,Low Risk,236500,57256.10737502575
0,21.1,Low Risk,236500,49990.35973101854
0,15.3,Low Risk,326500,49828.29015702009
0,13.7,Low Risk,446500,61101.79486870766
0,11.8,Low Risk,416500,49242.44750291109
0,39.8,Medium Risk,176500,70218.8955694437
0,15.4,Low Risk,296500,45730.2461117506
0,52.0,Medium Risk,186500,97006.07520341873
0,18.5,Low Risk,456500,84393.91218870878
0,9.8,Low Risk,546500,53569.63321566582
0,16.9,Low Risk,246500,41565.969966351986
0,37.1,Medium Risk,336500,124759.98577475548
1,45.7,Medium Risk,196500,89867.1640008688
1,38.7,Medium Risk,126500,48972.679167985916
1,100.0,High Risk,176500,176490.4265999794
0,21.4,Low Risk,376500,80643.09838414192
0,18.5,Low Risk,276500,51107.77620226145
0,41.0,Medium Risk,406500,166797.67812788486
0,14.6,Low Risk,256500,37460.14101058245
1,94.1,High Risk,306500,288383.2643330097
0,35.1,Medium Risk,166500,58410.61779856682
0,11.5,Low Risk,476500,54865.725219249725
0,43.4,Medium Risk,226500,98405.6252092123
0,28.2,Low Risk,106500,30064.27028775215
1,100.0,High Risk,426500,426388.8831436634
0,44.3,Medium Risk,86500,38339.21481668949
0,40.7,Medium Risk,236500,96169.38573122025
0,17.8,Low Risk,226500,40374.124489724636
0,29.6,Low Risk,626500,185350.7026284933
0,59.9,Medium Risk,206500,123665.3952896595
1,93.5,High Risk,646500,604626.8608868122
0,44.1,Medium Risk,206500,91022.6975530386
0,30.1,Medium Risk,176500,53214.017540216446
0,21.3,Low Risk,206500,44086.92391216755
0,68.8,High Risk,36500,25113.876193761826
0,10.7,Low Risk,406500,43684.979405254126
0,24.9,Low Risk,446500,111238.0001693964
0,21.2,Low Risk,256500,54277.08701044321
1,96.4,High Risk,176500,170173.07668924332
0,36.3,Medium Risk,96500,35004.02271747589
1,36.9,Medium Risk,116500,43010.81293821335
1,45.4,Medium Risk,106500,48313.84536623955
0,32.9,Medium Risk,266500,87772.37719297409
0,24.7,Low Risk,406500,100241.36833101511
0,37.6,Medium Risk,246500,92770.40368318558
1,100.0,High Risk,446500,446372.65452742577
0,21.3,Low Risk,166500,35409.54729169607
0,9.5,Low Risk,196500,18601.56237334013
1,100.0,High Risk,296500,296415.0116145611
0,32.0,Medium Risk,116500,37290.21717607975
1,100.0,High Risk,86500,86481.25866055489
0,16.6,Low Risk,586500,97068.1534409523
0,31.9,Medium Risk,276500,88131.53867423534
0,10.9,Low Risk,356500,38788.23374956846
0,28.4,Low Risk,166500,47288.25929760933
0,12.0,Low Risk,706500,84492.22423508763
0,32.0,Medium Risk,226500,72450.94540715218
0,25.7,Low Risk,186500,48012.448981404305
0,34.5,Medium Risk,416500,143699.12786781788
0,30.3,Medium Risk,346500,105131.66606426239
0,34.6,Medium Risk,376500,130172.18358814716
0,16.8,Low Risk,356500,59994.9721172452
0,22.5,Low Risk,206500,46408.70200842619
0,22.1,Low Risk,456500,101107.09476470947
0,37.2,Medium Risk,186500,69392.35830307007
0,27.5,Low Risk,76500,21025.10704100132
0,25.3,Low Risk,376500,95380.23443520069
0,12.8,Low Risk,626500,80169.74779218435
0,13.9,Low Risk,426500,59230.26701807976
0,49.6,Medium Risk,226500,112369.73002552986
1,100.0,High Risk,456500,456373.2308447361
1,100.0,High Risk,96500,96484.41249132156
0,29.6,Low Risk,356500,105508.70203971863
0,19.6,Low Risk,136500,26687.121100723743
0,28.8,Low Risk,666500,192251.11238658428
1,96.3,High Risk,386500,372111.3595068455
1,45.0,Medium Risk,256500,115446.07226550579
0,55.6,Medium Risk,256500,142532.4950516224
0,26.4,Low Risk,186500,49266.3749307394
0,22.7,Low Risk,316500,71781.04285150766
0,35.2,Medium Risk,216500,76268.81159842014
0,14.8,Low Risk,486500,72171.10802978277
0,27.3,Low Risk,236500,64578.47712934017
0,20.9,Low Risk,206500,43246.293753385544
0,16.0,Low Risk,396500,63392.466224730015
0,20.0,Low Risk,306500,61361.466370522976
0,21.4,Low Risk,326500,69918.28566789627
0,26.4,Low Risk,176500,46563.849955797195
1,93.2,High Risk,196500,183235.6887459755
1,100.0,High Risk,76500,76484.75673794746
0,13.4,Low Risk,426500,57295.58552801609
0,62.4,Medium Risk,286500,178913.60798478127
0,60.8,Medium Risk,276500,167990.66379666328
0,70.4,High Risk,346500,244009.0483725071
1,100.0,High Risk,356500,356411.5401804447
0,30.3,Medium Risk,236500,71719.26283836365
0,19.5,Low Risk,436500,85169.99354213476
1,82.1,High Risk,366500,301063.52031230927
0,49.0,Medium Risk,256500,125773.3399271965
0,15.1,Low Risk,356500,53848.746456205845
0,27.5,Low Risk,306500,84187.08723783493
1,99.9,High Risk,76500,76427.7415573597
0,23.2,Low Risk,236500,54756.56912475824
0,11.7,Low Risk,336500,39352.19005867839
0,14.8,Low Risk,136500,20156.904257833958
0,13.8,Low Risk,316500,43601.03007405996
1,89.9,High Risk,396500,356621.66979908943
0,11.4,Low Risk,586500,67095.3156016767
0,31.2,Medium Risk,346500,108241.18316173553
0,15.0,Low Risk,306500,45909.09247845411
0,17.1,Low Risk,396500,67809.01097506285
0,28.2,Low Risk,226500,63798.060178756714
1,20.6,Low Risk,596500,123171.3887527585
1,21.8,Low Risk,126500,27590.88610857725
0,26.8,Low Risk,136500,36624.75170195103
1,100.0,High Risk,346500,346393.8435316086
0,14.4,Low Risk,356500,51200.43412595987
0,82.1,High Risk,176500,144986.52377724648
0,9.6,Low Risk,266500,25477.87892818451
1,100.0,High Risk,106500,106472.55805134773
1,100.0,High Risk,476500,476298.6609637737
0,34.1,Medium Risk,146500,49957.12298154831
0,27.3,Low Risk,216500,59119.27595734596
1,36.7,Medium Risk,726500,266492.8951263428
0,29.8,Low Risk,476500,141789.55836594105
0,11.6,Low Risk,356500,41513.86608183384
0,11.9,Low Risk,206500,24675.019912421703
1,100.0,High Risk,106500,106478.49968075752
0,25.9,Low Risk,206500,53391.96342229843
0,53.9,Medium Risk,136500,73554.4094145298
0,8.7,Low Risk,326500,28262.969862669706
0,12.6,Low Risk,516500,65155.842401087284
0,20.8,Low Risk,306500,63894.3976610899
0,18.3,Low Risk,306500,56192.32099503279
0,30.3,Medium Risk,486500,147324.68335330486
0,19.3,Low Risk,676500,130475.83322972059
0,34.7,Medium Risk,346500,120340.58350324631
0,40.8,Medium Risk,226500,92422.88638651371
1,100.0,High Risk,256500,256486.7600798607
0,15.1,Low Risk,446500,67233.24650526047
1,100.0,High Risk,106500,106477.95376181602
0,18.0,Low Risk,276500,49861.51921749115
0,27.6,Low Risk,186500,51490.32850563526
1,27.1,Low Risk,276500,74878.62113118172
0,30.4,Medium Risk,396500,120637.4536305666
0,34.2,Medium Risk,296500,101270.59781551361
1,55.1,Medium Risk,486500,268065.4142200947
1,100.0,High Risk,26500,26495.089262723923
1,100.0,High Risk,106500,106477.95376181602
0,48.1,Medium Risk,166500,80042.6312237978
1,100.0,High Risk,596500,596272.3821997643
0,29.6,Low Risk,426500,126121.82646989822
0,15.8,Low Risk,636500,100711.91018074751
0,27.7,Low Risk,236500,65602.10846364498
0,49.4,Medium Risk,326500,161293.20484399796
0,24.0,Low Risk,116500,27952.340207993984
0,23.2,Low Risk,426500,99000.48594921827
0,48.0,Medium Risk,416500,200052.81107127666
0,56.5,Medium Risk,186500,105410.01695394516
0,12.4,Low Risk,246500,30493.928894400597
1,83.1,High Risk,466500,387707.6156437397
0,42.8,Medium Risk,116500,49842.935770750046
0,24.2,Low Risk,276500,67027.38382667303
1,31.1,Medium Risk,246500,76614.68696594238
0,29.2,Low Risk,106500,31083.681866526604
1,100.0,High Risk,646500,646475.9545326233
0,32.5,Medium Risk,286500,93196.01033627987
0,28.5,Low Risk,376500,107121.80252373219
0,21.5,Low Risk,276500,59403.629407286644
1,100.0,High Risk,86500,86493.50368976593
0,28.8,Low Risk,76500,22010.52488386631
1,99.4,High Risk,266500,264875.8116662502
0,54.2,Medium Risk,146500,79465.71317315102
0,11.6,Low Risk,276500,32028.33728119731
0,34.0,Medium Risk,156500,53154.26966547966
0,23.6,Low Risk,76500,18092.225678265095
0,29.3,Low Risk,526500,154520.645275712
0,32.3,Medium Risk,196500,63531.519412994385
1,100.0,High Risk,176500,176487.73342370987
0,19.5,Low Risk,276500,53890.11536538601
0,55.3,Medium Risk,116500,64367.2371506691
0,16.8,Low Risk,346500,58126.33569538593
0,87.0,High Risk,136500,118811.70880794525
0,41.9,Medium Risk,156500,65613.50829899311
0,47.0,Medium Risk,266500,125291.29607975483
0,33.9,Medium Risk,116500,39513.885855674744
0,37.5,Medium Risk,306500,114858.1950366497
0,36.4,Medium Risk,316500,115137.66910135746
0,35.1,Medium Risk,246500,86501.85142457485
0,19.4,Low Risk,566500,109678.44288796186
0,20.4,Low Risk,196500,40033.79747271538
0,35.3,Medium Risk,196500,69313.28500807285
0,20.6,Low Risk,116500,23979.23930734396
0,30.6,Medium Risk,156500,47943.54999065399
0,22.1,Low Risk,336500,74531.08771890402
0,21.5,Low Risk,226500,48683.45358967781
1,37.2,Medium Risk,756500,281041.38481616974
0,26.9,Low Risk,516500,139119.88672614098
0,18.9,Low Risk,406500,77012.02900707722
0,34.1,Medium Risk,166500,56750.075340270996
0,21.2,Low Risk,386500,81865.13814330101
0,75.5,High Risk,356500,269246.85057997704
0,37.2,Medium Risk,276500,102935.22268533707
0,14.7,Low Risk,396500,58273.38791638613
0,64.1,Medium Risk,706500,452572.96934723854
0,17.8,Low Risk,116500,20779.842741787434
0,19.6,Low Risk,236500,46401.14100277424
1,30.8,Medium Risk,246500,75817.1903192997
1,96.3,High Risk,226500,218108.55102539062
1,100.0,High Risk,526500,526332.7975273132
0,24.1,Low Risk,296500,71327.28008180857
1,44.8,Medium Risk,206500,92434.68789756298
0,20.8,Low Risk,216500,44929.798036813736
1,100.0,High Risk,266500,266429.61516976357
1,100.0,High Risk,156500,156439.60970640182
0,21.8,Low Risk,406500,88618.2093322277
0,29.3,Low Risk,106500,31216.765478253365
1,100.0,High Risk,546500,546368.2384192944
0,29.2,Low Risk,176500,51622.53972887993
0,26.4,Low Risk,396500,104859.73607003689
0,28.1,Low Risk,226500,63705.64283430576
1,94.6,High Risk,666500,630463.9368057251
0,17.5,Low Risk,236500,41277.69462019205
0,22.6,Low Risk,456500,103235.0153028965
0,52.9,Medium Risk,246500,130337.14005351067
0,33.3,Medium Risk,146500,48718.06259453297
0,35.8,Medium Risk,126500,45283.540442585945
0,10.2,Low Risk,396500,40571.44000381231
0,15.2,Low Risk,216500,32867.59202182293
1,100.0,High Risk,286500,286414.7700369358
0,47.5,Medium Risk,226500,107630.67309558392
0,20.8,Low Risk,686500,142740.0670275092
1,100.0,High Risk,626500,626327.5905549526
0,13.5,Low Risk,456500,61463.728345930576
1,100.0,High Risk,296500,296424.34284090996
0,14.2,Low Risk,336500,47749.125353991985
0,34.2,Medium Risk,156500,53529.614835977554
1,21.1,Low Risk,476500,100721.64927423
0,28.7,Low Risk,256500,73602.52010822296
0,19.9,Low Risk,276500,54950.062334537506
0,26.9,Low Risk,246500,66214.37068283558
0,16.8,Low Risk,676500,113579.48845624924
0,21.3,Low Risk,276500,58806.24580383301
0,14.5,Low Risk,426500,61944.431602954865
0,36.7,Medium Risk,306500,112485.42195558548
1,32.8,Medium Risk,136500,44834.88871157169
1,100.0,High Risk,546500,546457.0675492287
0,34.4,Medium Risk,316500,108968.1397229433
0,27.2,Low Risk,256500,69733.11522603035
0,31.6,Medium Risk,266500,84336.43472194672
1,87.3,High Risk,486500,424736.55074834824
0,20.2,Low Risk,346500,69821.7631727457
0,55.2,Medium Risk,266500,147212.15188503265
0,24.5,Low Risk,426500,104318.7850266695
0,40.7,Medium Risk,406500,165282.66920149326
1,83.1,High Risk,436500,362860.8197271824
0,28.5,Low Risk,146500,41764.80734348297
0,14.9,Low Risk,596500,88974.08084571362
0,23.0,Low Risk,246500,56797.044426202774
0,38.1,Medium Risk,126500,48185.79475581646
0,36.6,Medium Risk,296500,108455.96021413803
0,20.1,Low Risk,396500,79653.4717604518
0,27.5,Low Risk,486500,133677.6597648859
0,34.8,Medium Risk,126500,43990.4401153326
0,32.9,Medium Risk,236500,77908.71815383434
0,26.8,Low Risk,336500,90323.87517392635
0,39.6,Medium Risk,496500,196564.28150832653
0,34.7,Medium Risk,136500,47351.00197792053
1,100.0,High Risk,126500,126470.31506896019
1,51.7,Medium Risk,156500,80865.68140983582
1,100.0,High Risk,96500,96476.92933678627
0,18.7,Low Risk,316500,59033.24367105961
1,100.0,High Risk,156500,156462.45428919792
0,22.6,Low Risk,226500,51118.266865611076
0,40.2,Medium Risk,306500,123248.61814081669
0,48.2,Medium Risk,196500,94757.9036951065
1,100.0,High Risk,66500,66473.85933995247
1,100.0,High Risk,426500,426485.05222797394
0,37.5,Medium Risk,306500,115051.5614002943
0,8.7,Low Risk,426500,37141.317658126354
0,35.2,Medium Risk,76500,26900.33581852913
0,31.8,Medium Risk,396500,126027.01438963413
1,100.0,High Risk,326500,326402.8316438198
0,27.8,Low Risk,196500,54627.6670396328
0,41.5,Medium Risk,236500,98137.03137636185
1,100.0,High Risk,336500,336365.7186329365
0,19.0,Low Risk,166500,31687.324807047844
0,29.1,Low Risk,96500,28088.71077001095
1,41.1,Medium Risk,186500,76563.4616613388
0,32.0,Medium Risk,126500,40500.979110598564
0,61.5,Medium Risk,216500,133179.24690246582
1,100.0,High Risk,246500,246440.24541974068
0,33.5,Medium Risk,106500,35632.63714313507
0,19.7,Low Risk,366500,72356.50020092726
1,51.5,Medium Risk,306500,157926.94672942162
0,27.7,Low Risk,186500,51688.08688223362
0,14.7,Low Risk,486500,71343.53657066822
0,19.0,Low Risk,556500,105753.97190451622
0,26.9,Low Risk,246500,66353.10503840446
1,29.6,Low Risk,206500,61160.14428436756
1,100.0,High Risk,176500,176439.2772912979
0,43.0,Medium Risk,276500,118892.67820119858
0,46.6,Medium Risk,186500,87000.65743923187
0,27.9,Low Risk,226500,63187.75199353695
0,19.1,Low Risk,166500,31819.135196506977
1,51.7,Medium Risk,276500,142985.74110865593
0,17.5,Low Risk,396500,69363.68832737207
0,14.2,Low Risk,466500,66443.08407604694
0,23.5,Low Risk,146500,34492.174066603184
0,30.4,Medium Risk,196500,59643.0608779192
1,93.5,High Risk,356500,333173.55144023895
0,9.9,Low Risk,206500,20546.203915029764
0,49.3,Medium Risk,66500,32766.837760806084
0,29.3,Low Risk,226500,66294.73252594471
0,22.3,Low Risk,286500,63856.52196407318
1,100.0,High Risk,116500,116471.16181254387
0,61.0,Medium Risk,146500,89399.89548921585
0,57.0,Medium Risk,306500,174792.03048348427
0,11.8,Low Risk,616500,72672.57547751069
1,57.1,Medium Risk,146500,83583.15980434418
1,66.1,High Risk,116500,76997.66191840172
1,88.6,High Risk,356500,315723.4442830086
0,40.7,Medium Risk,286500,116642.45554804802
1,47.3,Medium Risk,426500,201781.5634161234
1,100.0,High Risk,326500,326418.5560643673
0,21.9,Low Risk,246500,53986.948281526566
0,31.7,Medium Risk,206500,65357.6270788908
1,100.0,High Risk,406500,406358.4040403366
0,54.1,Medium Risk,266500,144056.68446421623
1,100.0,High Risk,206500,206442.7538216114
0,23.8,Low Risk,596500,142175.60847848654
0,21.4,Low Risk,156500,33546.90137505531
0,21.7,Low Risk,556500,120599.3229970336
0,28.3,Low Risk,236500,66930.27350306511
1,58.5,Medium Risk,66500,38933.130115270615
0,28.4,Low Risk,106500,30262.02942430973
0,30.5,Medium Risk,286500,87343.08895468712
0,28.4,Low Risk,486500,138195.94460725784
0,22.5,Low Risk,236500,53216.74516052008
0,80.1,High Risk,226500,181357.01295733452
1,23.4,Low Risk,256500,59906.23169392347
1,65.1,High Risk,326500,212638.61453533173
0,12.2,Low Risk,186500,22842.484809458256
1,100.0,High Risk,136500,136470.71841359138
0,52.4,Medium Risk,126500,66330.94447851181
0,19.8,Low Risk,446500,88556.62712454796
0,15.6,Low Risk,366500,57287.17519342899
0,20.1,Low Risk,336500,67659.57722067833
0,14.8,Low Risk,386500,57192.077465355396
0,34.0,Medium Risk,336500,114532.6996743679
0,27.2,Low Risk,116500,31676.269933581352
1,66.3,High Risk,76500,50695.85672020912
1,100.0,High Risk,456500,456371.2717592716
0,9.7,Low Risk,566500,55025.13299137354
1,100.0,High Risk,276500,276418.99743676186
0,11.0,Low Risk,596500,65819.9827708304
1,100.0,High Risk,136500,136490.7900094986
0,65.0,High Risk,56500,36725.17713904381
0,10.7,Low Risk,346500,37164.95877876878
0,43.8,Medium Risk,146500,64181.88288807869
0,16.4,Low Risk,506500,83086.89360320568
1,100.0,High Risk,86500,86477.39180922508
0,24.7,Low Risk,576500,142258.51207226515
0,54.8,Medium Risk,356500,195258.3605349064
0,25.9,Low Risk,556500,143943.83588433266
1,28.7,Low Risk,256500,73612.55706846714
0,44.1,Medium Risk,236500,104301.71209573746
0,18.9,Low Risk,416500,78731.21494054794
0,19.3,Low Risk,506500,97799.59781467915
0,41.3,Medium Risk,156500,64577.950954437256
0,35.6,Medium Risk,296500,105582.79079198837
0,26.4,Low Risk,716500,189259.90444421768
1,100.0,High Risk,276500,276487.17802762985
0,15.6,Low Risk,386500,60314.423717558384
1,32.2,Medium Risk,226500,72890.56062698364
0,32.5,Medium Risk,366500,119254.21573221684
0,29.3,Low Risk,266500,78096.61540389061
0,27.4,Low Risk,186500,51165.22218286991
0,21.6,Low Risk,206500,44613.50321024656
0,17.0,Low Risk,456500,77489.98617380857
0,33.0,Medium Risk,156500,51701.889634132385
1,11.1,Low Risk,476500,52910.04338487983
0,27.8,Low Risk,296500,82450.06212592125
0,20.4,Low Risk,556500,113452.12002843618
0,19.2,Low Risk,576500,110869.04615908861
1,100.0,High Risk,286500,286427.884966135
1,37.4,Medium Risk,566500,211853.5502552986
0,25.2,Low Risk,676500,170358.52704942226
0,20.7,Low Risk,606500,125565.7364577055
